"rt","riskLiteracy","deal","delay","odd","subvalue","value","timesseen","age","gender","income","job","pnum"
2285,2,"in 1 month 25%","in 1 month","25%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
7242,2,"in 5 years 80%","in 5 years","80%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
2596,2,"in 6 months 10%","in 6 months","10%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1851,2,"in 2 years 80%","in 2 years","80%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
2350,2,"in 1 month 10%","in 1 month","10%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1630,2,"in 2 years 25%","in 2 years","25%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1449,2,"in 6 months 40%","in 6 months","40%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
2365,2,"immediately 10%","immediately","10%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
3569,2,"in 6 months 100%","in 6 months","100%",39375,"40000",5,22,"Female",5000,"Assistant Coach",1
1384,2,"in 5 years 10%","in 5 years","10%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1580,2,"in 1 month 80%","in 1 month","80%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1253,2,"in 2 years 10%","in 2 years","10%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1179,2,"in 2 years 40%","in 2 years","40%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
3012,2,"immediately 100%","immediately","100%",39375,"40000",5,22,"Female",5000,"Assistant Coach",1
2530,2,"in 1 month 100%","in 1 month","100%",39375,"40000",5,22,"Female",5000,"Assistant Coach",1
1777,2,"immediately 25%","immediately","25%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1482,2,"in 5 years 25%","in 5 years","25%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
3519,2,"in 5 years 100%","in 5 years","100%",30625,"40000",5,22,"Female",5000,"Assistant Coach",1
2603,2,"in 2 years 100%","in 2 years","100%",20625,"40000",5,22,"Female",5000,"Assistant Coach",1
1916,2,"in 6 months 80%","in 6 months","80%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1629,2,"in 6 months 25%","in 6 months","25%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1253,2,"immediately 40%","immediately","40%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1213,2,"in 5 years 40%","in 5 years","40%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
2693,2,"in 1 month 40%","in 1 month","40%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1581,2,"immediately 80%","immediately","80%",625,"40000",5,22,"Female",5000,"Assistant Coach",1
1131,2,"in 2 years 10%","in 2 years","10%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1777,2,"in 1 month 80%","in 1 month","80%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1271,2,"in 2 years 25%","in 2 years","25%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
13062,2,"in 6 months 40%","in 6 months","40%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1209,2,"in 6 months 25%","in 6 months","25%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1572,2,"immediately 10%","immediately","10%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
2308,2,"in 5 years 10%","in 5 years","10%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1393,2,"in 6 months 10%","in 6 months","10%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1162,2,"in 1 month 40%","in 1 month","40%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
5582,2,"in 6 months 100%","in 6 months","100%",762.5,"800",5,22,"Female",5000,"Assistant Coach",1
1344,2,"immediately 80%","immediately","80%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1547,2,"in 6 months 80%","in 6 months","80%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
2645,2,"in 1 month 100%","in 1 month","100%",787.5,"800",5,22,"Female",5000,"Assistant Coach",1
1809,2,"in 1 month 25%","in 1 month","25%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1090,2,"in 5 years 25%","in 5 years","25%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
2415,2,"in 5 years 100%","in 5 years","100%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1653,2,"in 2 years 40%","in 2 years","40%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1361,2,"immediately 40%","immediately","40%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
2751,2,"immediately 100%","immediately","100%",787.5,"800",5,22,"Female",5000,"Assistant Coach",1
1162,2,"in 1 month 10%","in 1 month","10%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1336,2,"immediately 25%","immediately","25%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1384,2,"in 2 years 80%","in 2 years","80%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1370,2,"in 5 years 40%","in 5 years","40%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
1719,2,"in 5 years 80%","in 5 years","80%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
2357,2,"in 2 years 100%","in 2 years","100%",12.5,"800",5,22,"Female",5000,"Assistant Coach",1
7001,4,"in 2 years 25%","in 2 years","25%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
11606,4,"in 5 years 80%","in 5 years","80%",28125,"40000",5,21,"Female",10000,"After School Recreation Leader",2
14924,4,"in 1 month 10%","in 1 month","10%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
9410,4,"in 2 years 40%","in 2 years","40%",1875,"40000",5,21,"Female",10000,"After School Recreation Leader",2
5988,4,"in 5 years 10%","in 5 years","10%",5625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
7598,4,"in 1 month 25%","in 1 month","25%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
6508,4,"immediately 40%","immediately","40%",13125,"40000",5,21,"Female",10000,"After School Recreation Leader",2
8945,4,"in 6 months 10%","in 6 months","10%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
4059,4,"in 1 month 100%","in 1 month","100%",39375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
15328,4,"in 5 years 100%","in 5 years","100%",35625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
2636,4,"in 5 years 40%","in 5 years","40%",3125,"40000",5,21,"Female",10000,"After School Recreation Leader",2
7056,4,"in 2 years 80%","in 2 years","80%",29375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
4392,4,"in 6 months 80%","in 6 months","80%",29375,"40000",5,21,"Female",10000,"After School Recreation Leader",2
3511,4,"in 6 months 25%","in 6 months","25%",625,"40000",5,21,"Female",10000,"After School Recreation Leader",2
